Date,Day of Week,Sales
2010-03-10,Wednesday,448.85
2007-10-31,Wednesday,62.5
2010-03-09,Tuesday,585.8
2011-05-29,Sunday,1542.45
2010-03-12,Friday,548.2
2011-05-30,Monday,686.45
2007-11-09,Friday,671.75
2010-03-11,Thursday,531.7
2011-05-31,Tuesday,306.2
2007-10-26,Friday,623.5
2011-06-01,Wednesday,532.55
2010-03-18,Thursday,1152.05
2007-10-27,Saturday,645.5
2007-10-28,Sunday,733.25
2010-11-01,Monday,283.45
2010-03-17,Wednesday,709.3
2010-10-31,Sunday,155.0
2007-10-29,Monday,278.25
2009-04-08,Wednesday,455.93
2010-10-30,Saturday,430.25
2007-10-22,Monday,454.25
2009-04-07,Tuesday,445.4
2007-10-23,Tuesday,393.5
2010-10-29,Friday,365.45
2009-04-10,Friday,780.4
2007-10-24,Wednesday,456.5
2010-10-28,Thursday,205.1
2009-04-09,Thursday,510.5
2007-10-25,Thursday,398.5
2010-10-27,Wednesday,307.2
2009-04-04,Saturday,1226.21
2008-06-30,Monday,687.57
2009-04-03,Friday,814.4
2010-10-26,Tuesday,431.05
2008-07-01,Tuesday,908.95
2009-04-06,Monday,477.55
2010-10-25,Monday,401.0
2009-04-05,Sunday,1189.25
2008-06-28,Saturday,730.75
2011-03-22,Tuesday,158.6
2008-06-29,Sunday,1231.0
2009-04-12,Sunday,679.5
2011-03-23,Wednesday,156.35
2008-06-26,Thursday,691.6
2009-04-11,Saturday,936.2
2011-03-20,Sunday,616.7
2008-06-27,Friday,986.95
2009-10-27,Tuesday,344.0
2011-03-21,Monday,549.25
2008-06-24,Tuesday,637.45
2009-10-26,Monday,398.5
2011-03-18,Friday,391.25
2008-06-25,Wednesday,801.0
2009-10-25,Sunday,799.5
2011-03-19,Saturday,363.45
2008-06-22,Sunday,1327.2
2009-10-24,Saturday,1000.0
2010-11-03,Wednesday,598.1
2008-06-23,Monday,667.65
2009-10-23,Friday,969.25
2010-11-02,Tuesday,329.05
2007-06-20,Wednesday,980.0
2009-10-22,Thursday,602.25
2010-12-03,Friday,673.9
2008-08-13,Wednesday,924.25
2009-10-21,Wednesday,483.75
2010-12-04,Saturday,411.6
2008-08-14,Thursday,655.2
2009-10-20,Tuesday,393.75
2010-11-29,Monday,403.1
2008-08-11,Monday,699.25
2009-10-29,Thursday,530.5
2010-11-30,Tuesday,303.4
2007-08-03,Friday,930.25
2009-10-28,Wednesday,470.25
2010-12-01,Wednesday,351.75
2009-03-03,Tuesday,337.0
2007-08-04,Saturday,1327.75
2010-12-02,Thursday,182.4
2009-03-02,Monday,325.45
2007-08-05,Sunday,676.0
2010-11-24,Wednesday,670.1
2009-02-23,Monday,405.1
2010-11-26,Friday,404.55
2007-08-06,Monday,507.25
2009-02-22,Sunday,115.75
2010-11-27,Saturday,358.1
2007-08-07,Tuesday,547.75
2009-02-25,Wednesday,355.38
2010-11-28,Sunday,406.95
2007-08-08,Wednesday,380.0
2009-02-24,Tuesday,466.0
2011-06-26,Sunday,1085.15
2007-08-09,Thursday,635.5
2009-02-27,Friday,794.45
2011-06-25,Saturday,1316.15
2007-08-10,Friday,845.5
2009-02-26,Thursday,568.55
2011-06-28,Tuesday,248.65
2007-08-11,Saturday,1219.5
2009-03-01,Sunday,427.15
2011-06-27,Monday,596.0
2007-08-12,Sunday,951.25
2009-02-28,Saturday,821.75
2009-04-21,Tuesday,891.25
2011-06-30,Thursday,685.65
2008-08-18,Monday,455.45
2009-04-22,Wednesday,707.0
2011-06-29,Wednesday,712.85
2007-07-09,Monday,641.75
2009-04-17,Friday,1045.5
2011-07-02,Saturday,1667.15
2007-07-08,Sunday,909.5
2011-07-01,Friday,1608.9
2009-04-18,Saturday,1382.5
2007-07-11,Wednesday,695.25
2011-07-04,Monday,672.95
2009-04-19,Sunday,1493.8
2007-07-10,Tuesday,583.0
2009-04-20,Monday,1013.5
2007-07-05,Thursday,1151.75
2011-07-03,Sunday,1895.5
2009-04-13,Monday,510.75
2007-07-04,Wednesday,420.75
2011-04-02,Saturday,1109.95
2009-04-14,Tuesday,357.4
2007-07-07,Saturday,1448.0
2011-04-01,Friday,1243.8
2009-04-15,Wednesday,546.0
2007-07-06,Friday,1120.75
2011-03-31,Thursday,996.2
2009-04-16,Thursday,751.3
2008-08-16,Saturday,1053.75
2009-12-23,Wednesday,341.2
2011-03-30,Wednesday,814.55
2007-07-13,Friday,1394.25
2009-01-06,Tuesday,367.49
2011-03-29,Tuesday,707.65
2007-07-12,Thursday,829.0
2009-01-05,Monday,344.25
2007-12-02,Sunday,369.75
2011-03-28,Monday,418.0
2009-01-04,Sunday,293.5
2007-12-03,Monday,417.25
2011-03-27,Sunday,641.2
2009-01-03,Saturday,538.25
2007-12-04,Tuesday,237.25
2011-03-26,Saturday,825.15
2009-01-10,Saturday,887.75
2011-04-04,Monday,662.25
2007-12-05,Wednesday,494.45
2009-01-09,Friday,598.24
2011-04-03,Sunday,996.75
2009-01-08,Thursday,281.0
2009-01-07,Wednesday,322.0
2007-12-06,Thursday,108.25
2010-07-10,Saturday,972.1
2007-12-07,Friday,491.25
2009-01-12,Monday,440.49
2010-07-09,Friday,964.6
2009-01-11,Sunday,534.5
2010-07-08,Thursday,620.2
2007-12-08,Saturday,425.25
2007-12-09,Sunday,378.75
2009-08-31,Monday,673.0
2010-07-07,Wednesday,610.15
2010-07-14,Wednesday,943.9
2009-08-30,Sunday,906.0
2007-12-10,Monday,297.0
2010-07-13,Tuesday,695.8
2007-12-11,Tuesday,307.45
2008-11-03,Monday,137.5
2010-07-12,Monday,468.4
2008-08-12,Tuesday,627.25
2008-11-02,Sunday,474.5
2008-08-17,Sunday,917.5
2010-07-11,Sunday,732.45
2008-11-06,Thursday,403.75
2008-03-30,Sunday,872.45
2010-07-16,Friday,723.45
2008-11-05,Wednesday,87.75
2008-03-31,Monday,499.0
2010-07-15,Thursday,705.45
2008-03-28,Friday,662.8
2008-11-08,Saturday,731.93
2011-03-16,Wednesday,429.4
2008-11-07,Friday,685.5
2008-03-29,Saturday,780.7
2011-03-17,Thursday,593.35
2008-11-10,Monday,472.0
2008-03-26,Wednesday,664.2
2010-11-12,Friday,415.65
2008-11-09,Sunday,325.5
2008-03-27,Thursday,727.85
2008-11-12,Wednesday,287.1
2008-03-24,Monday,780.45
2010-11-13,Saturday,572.2
2008-11-11,Tuesday,513.75
2008-03-25,Tuesday,799.4
2010-11-10,Wednesday,367.0
2009-12-17,Thursday,406.9
2008-07-09,Wednesday,732.75
2009-01-17,Saturday,741.75
2010-11-11,Thursday,497.05
2010-11-08,Monday,314.2
2008-07-08,Tuesday,908.95
2009-01-18,Sunday,587.5
2009-01-19,Monday,702.75
2008-07-07,Monday,884.25
2010-11-09,Tuesday,172.4
2009-01-20,Tuesday,346.25
2008-07-06,Sunday,943.5
2010-11-06,Saturday,660.25
2009-01-13,Tuesday,581.0
2008-07-05,Saturday,1094.5
2010-11-07,Sunday,660.25
2010-11-04,Thursday,401.05
2009-01-14,Wednesday,507.25
2008-07-04,Friday,380.25
2008-04-01,Tuesday,518.75
2010-11-05,Friday,804.95
2009-01-15,Thursday,614.5
2008-04-02,Wednesday,401.95
2009-01-16,Friday,951.25
2010-04-06,Tuesday,674.85
2009-09-08,Tuesday,477.0
2008-05-15,Thursday,1267.75
2010-04-07,Wednesday,683.85
2008-05-16,Friday,1551.7
2009-01-21,Wednesday,330.0
2010-03-31,Wednesday,178.75
2009-01-22,Thursday,372.24
2008-05-13,Tuesday,883.5
2010-04-01,Thursday,555.45
2010-03-29,Monday,344.25
2008-05-14,Wednesday,1148.5
2009-09-09,Wednesday,659.5
2008-05-19,Monday,483.0
2010-03-30,Tuesday,432.25
2009-12-13,Sunday,374.85
2009-12-12,Saturday,257.65
2010-04-04,Sunday,185.4
2008-05-20,Tuesday,478.25
2009-02-10,Tuesday,243.0
2010-04-05,Monday,504.35
2008-05-17,Saturday,1465.75
2010-04-02,Friday,675.2
2009-02-11,Wednesday,219.75
2010-04-03,Saturday,955.1
2008-05-18,Sunday,824.25
2009-02-04,Wednesday,425.75
2010-09-10,Friday,1018.2
2008-05-21,Wednesday,770.4
2010-09-09,Thursday,577.4
2008-05-22,Thursday,784.65
2010-09-12,Sunday,510.15
2009-02-05,Thursday,384.25
2008-01-23,Wednesday,396.75
2010-09-11,Saturday,965.4
2009-02-02,Monday,388.0
2008-01-22,Tuesday,352.5
2010-09-06,Monday,1276.95
2010-09-05,Sunday,1099.25
2010-09-08,Wednesday,360.4
2010-09-07,Tuesday,640.5
2008-08-15,Friday,1015.75
2010-09-14,Tuesday,472.9
2009-02-03,Tuesday,331.0
2010-09-13,Monday,422.3
2008-01-19,Saturday,699.65
2009-02-08,Sunday,431.5
2008-01-18,Friday,656.4
2010-06-28,Monday,627.35
2009-02-09,Monday,279.55
2010-06-27,Sunday,1252.95
2009-02-06,Friday,479.0
2010-06-30,Wednesday,929.05
2009-02-07,Saturday,764.6
2008-01-21,Monday,347.7
2010-06-29,Tuesday,646.35
2009-09-04,Friday,1342.0
2010-07-02,Friday,947.2
2009-09-05,Saturday,1244.75
2010-07-01,Thursday,1056.25
2009-09-06,Sunday,1387.5
2009-09-07,Monday,1090.5
2008-01-20,Sunday,439.2
2009-08-29,Saturday,1801.0
2010-07-04,Sunday,568.45
2009-09-01,Tuesday,868.75
2009-09-02,Wednesday,1076.54
2010-07-03,Saturday,835.15
2008-01-15,Tuesday,245.75
2010-07-06,Tuesday,654.85
2008-01-14,Monday,345.2
2009-09-03,Thursday,1244.0
2008-01-17,Thursday,466.5
2010-07-05,Monday,479.2
2009-08-25,Tuesday,735.5
2008-01-16,Wednesday,328.9
2011-01-24,Monday,384.5
2009-08-26,Wednesday,717.02
2008-07-12,Saturday,1061.45
2011-01-23,Sunday,783.1
2011-01-22,Saturday,987.45
2009-08-27,Thursday,1142.63
2008-07-13,Sunday,1137.25
2011-01-21,Friday,862.55
2009-08-28,Friday,1591.25
2008-07-14,Monday,542.0
2011-01-20,Thursday,492.15
2008-07-15,Tuesday,764.0
2009-08-21,Friday,1312.75
2011-01-19,Wednesday,486.3
2008-07-16,Wednesday,700.5
2009-08-22,Saturday,981.25
2011-01-18,Tuesday,312.5
2008-07-17,Thursday,770.0
2009-08-23,Sunday,927.75
2011-01-17,Monday,538.75
2008-07-18,Friday,969.45
2009-08-24,Monday,578.0
2011-01-16,Sunday,691.9
2008-07-19,Saturday,1299.75
2011-01-15,Saturday,592.65
2008-07-20,Sunday,784.0
2009-05-26,Tuesday,580.75
2010-05-01,Saturday,1179.2
2008-07-21,Monday,665.95
2009-05-25,Monday,708.75
2008-04-20,Sunday,695.2
2009-05-24,Sunday,1047.5
2010-04-30,Friday,959.0
2008-04-19,Saturday,1077.2
2009-05-23,Saturday,1320.0
2008-04-18,Friday,890.74
2009-05-30,Saturday,1275.63
2010-08-14,Saturday,1176.65
2009-05-29,Friday,622.0
2008-04-17,Thursday,860.25
2010-08-15,Sunday,871.6
2010-05-05,Wednesday,638.3
2009-05-28,Thursday,517.0
2008-04-16,Wednesday,629.25
2008-04-15,Tuesday,299.5
2010-05-04,Tuesday,751.85
2009-05-27,Wednesday,584.75
2010-05-03,Monday,1062.1
2008-04-14,Monday,448.0
2008-04-13,Sunday,1231.0
2009-06-01,Monday,423.75
2010-05-02,Sunday,1236.5
2010-08-08,Sunday,513.95
2009-05-31,Sunday,989.25
2008-04-22,Tuesday,398.7
2010-08-09,Monday,674.7
2008-04-21,Monday,524.2
2009-11-10,Tuesday,351.5
2009-11-09,Monday,212.25
2008-01-12,Saturday,709.6
2010-08-06,Friday,722.8
2009-11-12,Thursday,415.75
2008-01-13,Sunday,478.45
2009-11-11,Wednesday,504.55
2010-05-06,Thursday,591.25
2008-01-10,Thursday,236.65
2010-08-12,Thursday,614.45
2008-01-11,Friday,448.65
2009-11-14,Saturday,906.25
2010-08-13,Friday,586.55
2010-08-10,Tuesday,469.65
2010-08-11,Wednesday,695.57
2008-01-08,Tuesday,325.95
2009-11-13,Friday,614.5
2008-01-09,Wednesday,183.2
2011-03-15,Tuesday,305.4
2008-01-06,Sunday,313.15
2009-11-16,Monday,296.0
2011-03-14,Monday,339.15
2008-01-07,Monday,286.75
2009-11-15,Sunday,707.0
2008-01-03,Thursday,267.5
2009-11-18,Wednesday,313.75
2011-03-13,Sunday,398.25
2008-01-04,Friday,641.55
2009-11-17,Tuesday,305.75
2007-06-18,Monday,1033.75
2009-12-19,Saturday,447.95
2009-12-18,Friday,496.35
2008-07-30,Wednesday,620.5
2011-03-12,Saturday,758.35
2010-03-25,Thursday,531.4
2008-07-31,Thursday,724.5
2010-05-14,Friday,1157.15
2010-03-26,Friday,1271.6
2010-05-15,Saturday,1023.35
2008-07-22,Tuesday,646.0
2010-03-23,Tuesday,806.1
2008-07-23,Wednesday,835.0
2010-05-12,Wednesday,631.2
2010-03-24,Wednesday,578.5
2008-07-24,Thursday,746.25
2010-05-13,Thursday,591.45
2010-03-21,Sunday,1185.0
2008-07-25,Friday,1010.0
2010-05-10,Monday,359.5
2010-03-22,Monday,898.55
2008-07-26,Saturday,1404.25
2010-05-11,Tuesday,688.75
2010-03-19,Friday,1490.25
2010-05-08,Saturday,1246.1
2008-07-27,Sunday,1119.25
2008-07-28,Monday,668.75
2010-03-20,Saturday,1314.35
2010-05-09,Sunday,792.9
2008-07-29,Tuesday,804.25
2010-03-27,Saturday,1551.15
2007-06-17,Sunday,1381.0
2010-03-28,Sunday,965.85
2010-05-16,Sunday,802.0
2009-03-30,Monday,594.25
2007-08-29,Wednesday,605.75
2007-08-30,Thursday,680.25
2010-05-17,Monday,246.55
2009-03-31,Tuesday,552.25
2007-08-27,Monday,717.75
2010-05-30,Sunday,1237.05
2007-08-28,Tuesday,674.0
2009-03-28,Saturday,1235.25
2010-05-31,Monday,1143.65
2007-08-25,Saturday,1280.85
2011-07-13,Wednesday,983.55
2009-03-29,Sunday,895.87
2007-08-26,Sunday,817.75
2011-07-14,Thursday,749.95
2009-03-26,Thursday,684.5
2007-08-23,Thursday,535.5
2009-03-27,Friday,1103.5
2010-12-14,Tuesday,279.3
2007-08-24,Friday,840.25
2009-03-24,Tuesday,560.75
2010-12-13,Monday,270.1
2007-08-31,Friday,1164.0
2009-03-25,Wednesday,662.25
2010-12-08,Wednesday,245.35
2007-09-01,Saturday,1087.5
2009-04-01,Wednesday,495.6
2010-12-07,Tuesday,385.35
2008-02-15,Friday,555.75
2009-04-02,Thursday,482.25
2010-12-06,Monday,316.9
2008-02-16,Saturday,872.35
2010-12-05,Sunday,248.45
2009-12-15,Tuesday,280.65
2008-02-13,Wednesday,572.65
2009-07-09,Thursday,818.75
2008-02-14,Thursday,632.9
2010-12-12,Sunday,466.75
2008-02-19,Tuesday,251.0
2009-07-08,Wednesday,922.5
2010-12-11,Saturday,403.7
2009-07-07,Tuesday,633.25
2008-02-20,Wednesday,327.9
2010-12-10,Friday,426.8
2009-07-06,Monday,694.5
2008-02-17,Sunday,486.75
2010-12-09,Thursday,536.95
2009-07-05,Sunday,830.75
2008-02-18,Monday,473.0
2010-06-05,Saturday,1341.8
2009-07-04,Saturday,392.25
2008-02-21,Thursday,327.0
2010-06-06,Sunday,1125.45
2009-07-03,Friday,1206.5
2008-02-22,Friday,484.25
2011-07-11,Monday,718.1
2009-07-02,Thursday,887.25
2007-06-16,Saturday,1214.75
2011-07-12,Tuesday,802.85
2010-01-26,Tuesday,313.35
2007-07-16,Monday,637.0
2007-07-17,Tuesday,746.5
2011-02-06,Sunday,854.25
2010-01-27,Wednesday,470.2
2007-07-14,Saturday,1513.0
2011-02-07,Monday,525.5
2009-07-11,Saturday,1154.25
2007-07-15,Sunday,1312.75
2011-02-04,Friday,791.4
2009-07-10,Friday,976.0
2007-07-20,Friday,933.25
2011-02-05,Saturday,1237.1
2008-12-12,Friday,718.0
2007-07-21,Saturday,1333.5
2011-02-10,Thursday,471.65
2008-12-13,Saturday,440.5
2007-07-18,Wednesday,792.0
2011-02-11,Friday,729.9
2009-12-14,Monday,293.8
2008-12-04,Thursday,280.5
2007-07-19,Thursday,810.0
2011-02-08,Tuesday,409.6
2007-07-22,Sunday,1104.25
2011-02-09,Wednesday,494.55
2007-07-23,Monday,751.5
2008-12-05,Friday,615.6
2011-07-09,Saturday,1131.6
2007-09-27,Thursday,461.0
2011-07-10,Sunday,1353.85
2008-12-06,Saturday,651.25
2007-09-26,Wednesday,792.0
2011-02-12,Saturday,1054.25
2008-12-07,Sunday,247.25
2007-09-29,Saturday,998.0
2011-02-13,Sunday,738.45
2007-09-28,Friday,642.25
2011-07-05,Tuesday,1003.65
2008-12-08,Monday,401.25
2007-09-23,Sunday,454.0
2011-07-06,Wednesday,1042.5
2008-12-09,Tuesday,327.75
2007-09-22,Saturday,768.5
2008-12-10,Wednesday,317.25
2011-07-07,Thursday,826.5
2007-09-25,Tuesday,507.0
2011-07-08,Friday,864.25
2008-12-11,Thursday,366.9
2007-09-24,Monday,511.75
2010-01-29,Friday,501.4
2010-01-28,Thursday,498.2
2007-10-01,Monday,468.5
2007-09-30,Sunday,1087.25
2010-01-31,Sunday,607.85
2007-06-23,Saturday,1638.5
2010-01-30,Saturday,887.85
2008-09-28,Sunday,645.25
2010-02-02,Tuesday,325.4
2008-08-23,Saturday,1074.7
2010-02-01,Monday,402.2
2010-02-04,Thursday,173.55
2010-02-03,Wednesday,453.01
2010-02-06,Saturday,757.1
2010-02-05,Friday,659.5
2009-10-18,Sunday,581.75
2009-10-19,Monday,321.75
2009-10-10,Saturday,553.75
2009-10-11,Sunday,478.75
2009-10-12,Monday,229.25
2009-10-13,Tuesday,24.25
2009-10-14,Wednesday,426.75
2009-10-15,Thursday,522.5
2009-10-16,Friday,1174.25
2009-10-17,Saturday,1059.0
2009-12-16,Wednesday,584.25
2009-12-11,Friday,466.4
2009-12-10,Thursday,198.1
2009-08-11,Tuesday,687.0
2009-02-20,Friday,520.75
2009-02-21,Saturday,583.0
2009-02-14,Saturday,738.5
2009-02-15,Sunday,237.75
2009-02-12,Thursday,447.95
2009-02-13,Friday,450.0
2009-02-18,Wednesday,272.75
2009-02-19,Thursday,531.0
2009-02-16,Monday,208.25
2009-02-17,Tuesday,201.25
2009-05-14,Thursday,686.0
2009-05-13,Wednesday,759.0
2009-05-16,Saturday,1861.25
2009-05-15,Friday,1409.75
2009-05-18,Monday,495.0
2009-05-17,Sunday,1278.75
2009-05-20,Wednesday,670.5
2009-05-19,Tuesday,642.25
2009-05-22,Friday,834.75
2009-05-21,Thursday,537.5
